year,state,state_po,STATEFIP,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,party_simplified,vote_percentage
2008-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Mccain, John",Republican,False,1445814,2925205,REPUBLICAN,49.42607441187882
2008-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Obama, Barack H.",Democrat,False,1441911,2925205,DEMOCRAT,49.292647865705135
2008-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Nader, Ralph",Independent,False,17813,2925205,OTHER,0.6089487745303321
2008-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Barr, Bob",Libertarian,False,11386,2925205,LIBERTARIAN,0.38923767735936454
2008-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Baldwin, Charles """"Chuck""""",Constitution Party,False,8201,2925205,OTHER,0.28035641946461876
2008-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Mckinney, Cynthia",Unknown,True,80,2925205,OTHER,0.0027348510617204607
2012-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Romney, Mitt",Republican,False,1482440,2757323,REPUBLICAN,53.76374113587708
2012-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Obama, Barack H.",Democrat,False,1223796,2757323,DEMOCRAT,44.38348354545333
2012-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Johnson, Gary",Libertarian,False,43151,2757323,LIBERTARIAN,1.5649599267115244
2012-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Goode, Virgil Hamlin, Jr.",Constitution Party,False,7936,2757323,OTHER,0.2878153919580695
2016-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Trump, Donald J.",Republican,False,1594511,2808605,REPUBLICAN,56.77234783816165
2016-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Clinton, Hillary",Democrat,False,1071068,2808605,DEMOCRAT,38.13523083523671
2016-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Johnson, Gary",Libertarian,False,97359,2808605,LIBERTARIAN,3.466453986943696
